tweet,Annotator 1,Annotator 2,Annotator 3,Annotator 4,Annotator 5
أعفت المديرية العامة للشؤون الصحية بمنطقة جازان مدير مستشفى إرادة للصحة النفسية فيما لم تربط المعلومات وقرار الإعفاء بين ذلك وحادثة الانتحار كما روجت له بعض الرسائل المتداولة وتضمن قرار الإعفاء تقديم الشكر للمدير المعفى,1,0,1,0,1
انتحار شخص بطلق ناري في الصباحية,1,0,1,0,1
بعد واقعة الانتحار وتزايد الشكاوى الصحة تعفي مدير مستشفى إرادة جازان,1,0,1,0,1
حصاد ٢٠١٩ أعدامات واعتقالات وأختفاء قسرى اختطاف البنات واعتقالهم ومنع علاجهم ظلم وقهر وتعذيب وتجويع بالسجون أنتحار شباب قتلت احلامهم حبس كل صاحب رأى ومن يدافع عنهم حوادث وحرائق بالطرق والمواصلات أطفال ماتت صعقا بالكهرباء فقر ومرض وجهل أخلاق منهاره وقيم ضائعه وتاريخ مزيف ومشوه,1,1,1,0,0
ملحمة أنوال انتحار الجنرال مانويل سيلفيستري الصور الجنرال الفولاذي الذي استعمر مدن العرائش القصر الكبير أصيلا ثم انتحر تحت أقدام أسد الريف عبد الكريم الخطابي الصورة بقلم محمد عزلي في   فبراير   انتقل الجنرال إلى مليلية ليصبح,1,1,0,0,1
بعد واقعة الانتحار وتزايد الشكاوى الصحة تعفي مدير مستشفى إرادة بجازان,1,0,1,0,1
للأسف روج البعض مساء الأمس بعض التغريدات التي ربطت إعفاء مدير المستشفى بحادثة إنتحار المريضة ظنا منهم بأنهم قاموا بنشر سبق صحفي متجاهلين عقوبة نشر الإشاعات بحق المنشأة فريق العمل إكتفيت حينها بالرد بالتغريدة,1,1,1,0,1
دى مش فيونكة دى بواقي تجربة انتحار فاشلة,0,0,0,1,0
يخوف طلع حقيقي وفي احد منتحر بإطلاق نار,1,1,1,0,1
هذا انتحار,1,0,1,0,1
معدل انتحار الكلبوبات,0,0,0,0,0
الصحة النفسية كثيرا من حالات الإنتحار تحدث عند من لايملك ثقافة الإسلام الحنيف يفكر المنتحر أنه قد ريرتاح بعد موته الاكتئاب يعالج بتلاوت القرآن الكريم والحديث الشريف,1,0,1,0,1
هههههههههههههههههههههههههههههههههههههه بروح انتحار واجي,0,0,0,0,0
قال احد الحكماء ما رايت اتعش من اربعه قال شخص يدعي للعشاء ويطلب المزيد شخص يريد الانتحار وعمرة مديد شخص يلبس القديم ولديه الجديد وحين ما سالوة عن الرابع قال معلق إنه ريال مدريد,0,0,1,0,0
الكيان الصهيوني يحتفل هذه السنةبماكيت ماما اسراء يلة دمية حمقاء قصيرة الحجم تعطي قفاها للصورة لتخفي عيوب وجها القبيح وذلك لشعورها المرير باحباط العام المنصرم من اخفاقات تغرق بحر الهزيمة والخيانة معلنة هزيمتها وتداري خيبتها النكراء وذلك لعقيدتهم بان ذلك يعني الرغبة الانتحار,0,0,0,0,1
احدث طرق الانتحار ٢٠٢٠,1,0,1,0,1
انتحار مواطن مواليد   شنقا بمنزل أسرته في منطقة سلوى,1,0,1,0,1
تقع غابة اوكيغاهارا على السفح الشمالي لبركان فوجيسان في اليابان تبلغ مساحتها   كيلو مترا مربعا تعد واحدة من أكثر المناطق التي تشهد حوادث انتحار في العالم حتى سميت بغابة الانتحار الأمر,1,0,1,0,1
يوم إنتهاكات من اكتر واكثر الكوارث الي حدثت خلال العام بالنسبة لي هي الانتحار ازاي وصلنا للمرحله دي ازاي وصل بأولادنا الحال انهم يتمنوا الموت ويقتلوا نفسهم على انهم يعيشوا في مصر ويواجهوا الحياه فيها هل ده قله دين او سوء تربيه اننا معلمناش اولادنا يواجهوا الصعاب,0,0,1,0,1
كنت بتفسح اصل بعيد عنك مكتئبه وعلي وشك الانتحار ايوا انا كده لما اكون مكتئبه بروح لوكيشن اكل البيتزا بتاعتي واسمع اغاني واكون في عالمي لوحدي وبعدين ياللي شوفتني اكيد شوفت يعني,0,0,1,1,1
المواطن الشريف سيد بو مهدي شكثر تحتاجون من انتحار عشان تحلون قضية اخوانا الكويتيين البدون,0,0,1,0,1
مشاهد انتحار مواطنة عشرينية داخل غرفتها جنوب المملكة وسط ظروف غامضة,1,0,1,0,1
بداية جدا سيئة لسنة ٢٠٢٠ أتمنى فعلا مايكون الإنتحار مهرب,1,1,1,0,1
نعم أوقفوا هذه المسخره وتعلموا وتفكروا بدين الله ستجدون الخير كله وستجدون ماتسعدون به لأن ماعند الله باق انتحار شاب بدون,1,0,1,0,1
الاخوة البدون الانتحار حرام شرعا ولا يجوز لكن من يريد الانتحارعليه أولا احضار صحيفة جنائية تؤكدانه ليس من اصحاب السوابق لان جماعتنا لن يقصروا بتسريب صحيفة جنائية مزورة تثبت ان المنتحر كان مجرم ما تشوفونها غريبة شوي كل ما يتوفي احدهم تسرب صحيفة جنائية له على مواقع التواصل,1,1,1,0,1
فيه فرق بين انك تشجع على الانتحار وبين انك تكون انسان وتظهر شوية تعاطف بس حرفيا اشفق على عقلك اللي يشوف التعاطف تشجيع على الانتحار فخذي مرة ثانية,1,0,1,0,0
جار الانتحار رشا تبي تسوي لي تنبيه,0,0,0,1,0
جاهزه لعملية الانتحار,0,0,0,1,1
ليش يصرخ صالح ولاواحد من الشعب يصرخ هو اختار الانتحار ماخصنا ولاخص الحكومه ولايخص الشعب المنتحر أبخص بحالته الوطن وانت وانا وصالح الفضاله مكرمين ريح دماغك يالحبيب,1,0,1,0,0
يجوز الانتحار من فوق المسجد فيديوهات الأمارات ضحك وناسه,0,0,0,0,0
أطلق النار على نفسه بسبب الضائقة المالية هذه قصته لبنان انتحار ضائقة مالية,1,0,1,1,1
شاهد طبيب يخاطر بحياته لإنقاذ مريض بكورونا قبل الانتحار صحيفة المرصد,1,0,1,0,1
چه کنیم که در کنار ما باشد اما هر روز شاهد قتل انتحار انفجار کشتار بی خانه شدن هموطنداران خود باشیم,0,0,0,0,1
ممكن تتحول علاقة في الانترنت بشكل مأسوي جدا نفس ما حصل مع بنت شجعت صديقها البالغ من العمر   سنة على الإنتحار من خلال رسائل نصية القصة مؤلمة ومؤثرة للبعض واعتقد غير مناسبة للصغار تابعو تعلاقات,1,1,1,1,1
يعاني الشعب الجزائري غيره من إدمان رهيب للسكر السكر حلو المضاق يستخدم في الشاي في وفي تحضير كوب من مشروب غازي حلو يحتوي على   صغيرة سكر العصير الاصطناعي من     سكر احتياجات الجسم للسكر لا تتعدى واحدة بشرط من مصادر طبيعية إنه الانتحار بالسكر,0,0,0,0,0
مردك بحفره مترين بمترين وراح تشوف الحوبه يالزواوي محد ظالمهم غيرك انت والفضاله انتحار بدون في الصليبية ستحاسبووووووون,1,0,1,0,1
الكويت البدون انتحار بدون بالصليبية الميثاق تجمع الميثاق الوطني عبدالله بهبهاني,1,0,1,0,1
يظلمون البدون ويقولون الكويت لا تظلم أحد نعم صحيح الكويت لا تظلم أحد من يظلم هم أنتم يا هذه الشرذمة التي سيطرت على مقاليد هذه القضية انتحار بدون في الصليبية,1,0,1,0,1
انتحار بدون في الصليبية لاحول ولاقوه الا بالله يامسئولين الظلم ظلمات يوم القيامه والله ليسألكم الله عنها وعن ظلمها خافوا ربكم تخيلوا انها بنت واحد فيكم تسلط ارقاب العباد من لايخاف الله كانه ماخذ صك بيدخل الجنه بلا حساب,1,0,1,0,1
يسولف عن السعودية قطر مطار عدن سلمان العودة انتحار بدون مرزوق الغانم ومسلم البراك ثقته بنفسه وانه بيتكلم بكل هالمواضيع عجيبة,0,0,0,0,1
ارسل ايميل لصديقك يساعده الانتحار,0,0,1,1,1
أحبك جدا وأعرف أني أعيش بمنفى وأنت بمنفى وبيني وبينك ريح وغيم وبرق ورعد وثلج ونار وأعرف أن الوصول لعينيك وهم وأعرف أن الوصول إليك انتحار,0,0,0,0,0
العالم يتساءل كيف يقبل   مليون جزائري أن تتصرف حكومة عصابة من المجرمين في مصيرهم لهذه الدرجة وصلت سمعة الجزائر للحضيض هذا انتحار جماعي عدو الجزائر هو الجزائري نفسه بصمته على الظلم والطغيان هذا السكوت يشجع النظام العسكري الاستمرار في قمعه واستبداده,0,0,0,0,0
کشور که با خبر انفجار انتحار صبح را مردمان اش آغاز میکنند,0,0,0,0,1
وقف خاصية خجل واوقف انتحار,0,0,0,0,0
كان براندن بريمر طفلا عبقريا بلغ معدل ذكائه ۱۷۸ درجة بدأ بقراءة الكتب بسن ۱۸ شهرا عزف البيانو بسن سنوات بدأ دراسته الجامعية بسن   عامأ ولكنه فجأة انت حر بسن   عاما دون أي علامات للاكتئاب أو رسالة انتحار أو أي ضغوطات نفسية قد لاحظها والديه,1,0,0,0,1
مجلس الامة   مجلس الأمة انتحار بدون في الصليبية انتحار بدون بالصليبية البدون الجهاز المركزي للبدون ههههههههه والله صادق طارق العلي والي يومك هذا يمشي اوراقه مو داري عن الشعب ههههههههههههههه,1,0,1,0,1
صادم انتحار تلميذة بداخل مؤسسة كورونا المغرب,1,0,1,0,1
هل من الممكن أن هذا احد خدم وبعد انتحار سيده استمر في قتال جيش جاهاد وفي النهايه ختم نفسه في جوهره الشجاعه ونعرف أن بام ممكن ياخذ الجوهره بعد موت كالافان,0,0,0,0,1
تستند كريستا فولف في روايتها إلى أجزاء من رسائل حقيقية ين كاتبين يتشاركان الإحساس بالاغتراب في مجتمعهما ويعيان استحالة الحياة في ظل انعدام أفق الحرية إلى حد أن كلا منهما سيقدم على الانتحار في الواقع بعد بضع سنوات من أحداث الرواية,0,0,0,0,0
انتحار إمرأة شنقا في مدينة بور,1,1,1,0,1
ياليت الإنتحار حلال,1,1,1,1,1
إنتحار تلميذة في ظروف غامضة بداخلية أحد المؤسسات التعليمية بأكادير,1,1,1,0,1
ايران الفقر البطالة البؤس الانتحار هدیة النظام الملالی لشعب الایرانی بعد مرور ٤۱ عام من حكم الملالي في إيران المواطن يجمع من القمامه من اجل لقمة عیش میلیاردها دلار ازپول مردم ایران صرف جنگ افروزی وکمک به گروههای تروریستی درعراق وسوریه میشه,0,0,0,1,0
هل المدخن متهور ومسترخص حياته تعال اقعد شهر في العناية القلبية او في عيادة الامراض الصدرية او عيادة الاورام اللي يشوف المرضى قدامه ويشوف معاناتهم واعمارهم صغيرة يعرف ان اللي بيسووه انتحار بطيء واستهتار هو ابتلاء واسأل الله ان يعينهم وكلنا نوقف معاهم حتى يوقفوا معاناتهم,0,0,0,0,0
نسبة الانتحار بين الرجال في الاقليم تفوق مثيلتها عند النساء بثلاثة اضعاف,1,0,1,0,1
إلى المسؤولين في السلطة من حمير وقرود ومعتوهين لن نحميكم مرتين لن ندافع عنكم مرتين لن نستشهد من أجلكم مرتين وإلى شاهبندر التجار لست أطغى من فرعون ولا أدهى من هامان ولا أغنى من قارون نواف هل تعلم انتحار بدون بالصليبيه السنه الجديده السنة الجديدة,0,0,0,0,0
وش سالفة مصر كل شوية عندهم حالات انتحار,1,0,1,0,1
هيستوريا انقذت ايرين من الاكتئاب من فكرة الانتحار من الهاوية على لسان ايسياما ايرين نفسه متقبلين حب ميكاسا لايرين بس ما تتقبلوا حب ايرين لهيسو,0,0,0,0,0
مردم خسته از جنگ بقدر توان خود برای صلح تلاش میکنند دیوار نگاری با موضوع صلح در ولایت تخار مردم انفجار انتحار ترور را محکوم صلح میخواهند,0,0,0,0,1
بعد انتحار بدون بالصليبية عادل الزواوي بدل أن يطالب مؤسسات حقوق الإنسان في الكويت بالصراخ قضية البدون وعدم السكوت عن هذه المعاناة التي دامت سنين بدون حل نجده يطالب صالح الفضالة بالصراخ لكشف حقيقة البدون التي أخفاها الجهاز المركزي عنهم بشهادة البدون أصرخ خلني أسمع صدى صوتك,1,0,1,0,1
خضت اليوم نقاش مؤلم مع زميل عزيز كان نقاشنا عن الإكتئاب الإنتحار للأسف كان محور إختلافنا هو الغضب اللعان الموجهة لمن أنهوا حياتهم منتحرين بسبب الإكتئاب البعض لا يدرك حقيقة ما يمر به الأشخاص ألذين يعانون من الإكتئاب الحاد مما يتسبب بميول إنتحارية لنسبة عالية منهم,1,1,1,0,1
كنت راجعه من الامتحان طول الطريق بفكر في الانتحار والله وجات امنيه كملت الحمد لله تم إنقاذ روحين من الموت بقرار تأجيل امتحانات,1,0,1,0,1
تعريف الإنتحار,1,1,1,0,1
كايروس يروي المسلسل قصة مدير تنفيذي لشركة بناء تنهمر حياته بالكامل بعد معرفته بموت ابنته انتحار زوجته لكن يرده اتصال من الماضي من فتاة تريد مساعدته لاسترجاعهما في المقابل يمنع اختطاف امها من المستقبل,0,0,0,0,0
أهلا تفضل مثل ما طلبت خضت اليوم نقاش مؤلم مع زميل عزيز كان نقاشنا عن الإكتئاب الإنتحار للأسف كان محور إختلافنا هو لا تنس تتابعنا نراك قريبا,1,1,1,0,0
لان الشريط ماينهي التسجيل الا اذا نهيته يعني القاتل يبيها انتحار بس راحت عليه,0,0,0,0,0
اعاني من حالة انتحار عقلي,0,0,0,0,0
عملیات هوایی نیروهای امنیتی برای سرکوبی حملات ترویسی طالبان را زمین گیر ساخته است به همین خاطر طالبان در بین مردم پنهان شده انفجار انتحار ترور میکنند قهرمان امنیتی,0,0,0,0,1
طب هو عايز يموت تنقذوه ليه هو اي الخرا دا متسيبو الناس تعمل اللي هي عايزاه حتي الانتحار حاشريين نفسكو فيه,0,0,1,0,1
عن أي إنسانية تتحدثون الله يلطف حال طلال من قبله في بداية ديسمبر إنتحر شاب بدون كان يبيع في بسطة تمت مصادرة بسطته سجن أبيه بين الحياة الموت طالب المرحوم أن يخرج رؤية والده رفضوا شنق نفسه انتحار بدون بالصليبية,1,1,1,0,1
الحمدلله طلال أخرج بيان قبل إقدامه على الإنتحار حتى لا تشوه سمعته انتحار بدون بالصليبية,1,0,1,0,1
بوجود هذا الثلاثي اليوم الاعتماد على تكتيك البناء من الخلف انتحار يا رازفان انتحار,0,0,0,0,0
اليمن الصحة النفسية في المدارس أزمة تبحث عن حل زواج مبكر تسرب محاولة انتحار عنف أسري مخدرات,1,0,1,0,1
انتحار بدون بالصليبية,1,0,1,0,1
والله انك مسكينه انا دايم زيك اصلا حفل اليوم ما دريت عنه الا قبل ما يبدأ بنص ساعه الحمدلله ما راح علي ولا كان انتحرت انتحار اسلامي,0,1,0,0,0
بالعكس المسلسل لايشجع علي الأنتحار في فقرة ما قالت الأم عن بنتها انها ركزت علي الأسباب اللي دفعتها للأنتحار ومش علي الأسباب اللي ممكن تخليها ترجع عن القرار دا برغم إن أسباب رجوعها عنه كان ممكن تكون اكتر بس الإنسان لما يكون حزين مش بيكون شايف غير كل حاجه وحشه,0,1,0,0,0
في سنة   لأول مرة اتكلم بهذا الموضوع سوف اتكلم به لأنكم عائلتي كنتم الدافع الأول للتغيير نحو الافضل في هذه السنة انا اقدمت على الانتحار كما ترون صورة يدي كنت يأست من حياتي لاني لا اتغيير الى متى سوف اترك التشوهات التي زرعت في فكري بسبب الحوزة السنه الجديده,1,0,1,0,1
الانتحار رقي واسلوب للمقاومة اذا ماكانت هذي دعوة الى ازهاق الروح شنو تسميها يادكتور يادكتور الناس مضغوطة وانت تفخم من الامر مابي اقولك العقول ليس سواء وان حتى العاقل في بعض الاحيان تختلت عنده الامور يعني يادكتور لا تصير انت والشيطان والحكومة علينا,0,0,1,0,1
انتحار أب لخمسة أطفال بالفنيدق,1,0,1,0,1
الوسواس الخناس البدون انتحار بدون في الصليبية,1,0,0,0,1
انتحار أب لخمسة أطفال يهز هدوء مدينة الفنيدق,1,0,1,0,1
الآراء إدخال الممثلة كواك جي يونغ المستشفى بعد محاولتها الانتحار,1,0,1,0,1
معلومة الظليم هو ذكر النعامة في اللغة العربية الفصحى كي لا يشرد ذهن البعض لبعيد البدون انتحار فتاه بدون انتحار بدون بالصليبية انتحار بدون بمخفر الوفره انتحار بدون بمخفر الوفرة انتحار بنت بدون بمستشفى الجهراء انتحار فتاة بدون بالجهراء,1,0,0,0,1
انتحار بدون بالصليبيه شر البلية مايضحك من كثر البطر البدون ينتحرون,1,0,1,0,1
اللهم أزل هذه الغمة عن هذه الأمة انتحار بدون في الصليبيه مع البرغش البدون بدون البدون في الكويت الكويتيين البدون مجلس الوزراء مجلس الأمة,1,0,1,0,1
أنا مكتئبة وماف منفذ وما مبدعة وبيني وبين الانتحار خطوة الإيمان,1,0,1,1,1
بدوله الانسانيه يتهمون من انتحار بدون في الصليبية انه له سوابق وهذا عذرهم الوحيد لذلك نطالب وزير الداخليه بالكشف عن السجل الجنائي لمن لا يقبلون السكوت,1,0,1,0,1
من يراهن على ان اسرائيل ستطور اقتصاده وبلده فليقرأ مسرحية شكسبير تاجر البندقية الاسرائيليون جاءوا ليسرقوا كما وصفتهم صحفهم وليس ليطوروا ولو كانوا سيطورون بلدا لطوروا مصر الاردن التي طبعت معهم قبل اربعين سنة التطبيع انتحار,0,0,0,0,0
انتحار بدون بالصليبية البدون مجلس الأمة مجلس الامة   أمة   الكويت بس مصخت,1,0,1,0,1
الآراء الممثلة كواك جين يونغ ٥٠ سنة أسعفت إلى المستشفى بعد محاولتها الانتحار,1,0,1,0,1
الشرطة الإسبانية تتدخل لإنقاذ فتاة بلجيكية كانت ترغب في الإنتحار,1,1,1,0,1
سوشانت سينغ ممثل سينمائي وتلفزيوني هندي بدأ مسيرته الفنية بالمسلسلات التلفزيونية       إنتحار,1,1,0,0,0
انتحار فتاة تبلغ من العمر   عاما تدعى مهسا من كوغلوية وبویراحمد بعد أن ألقت بنفسها من أعلى جسرها ماتت خودکشی ازدستاوردهای رژیم آخوندی صحنه دلخراش خودکشی دخترحوانی به اسم مهسا۱۳ساله اعتراضات سراسری ايران العراق السعودية,1,0,1,0,1
فتاة ولدت حساسة للخوارق تحاول عمل بعض الامور الخارقة الاستدعاء فيتعاملون بامور مخيفة وخوارق مما يجعل الموقف يخرج عن السيطرة فتبدا معركة مع الشيطان وتزداد حالات الانتحار والفوضى,0,0,0,0,0
أوقفوا هذا الانتحار ملاحظة رائعة من طبيب يحمل مفهوما لديمومة الصحة,0,0,0,0,0
بدأت أفكر جديا في الإنتحار,1,1,1,1,1
أي ألم هذا الذي غيب ابتسامتك ياطلال ودفع روحك الشابة للخلاص من الحياة للخلاص منه كلمات قد كتبتها في رثاء الشاب بدر وها أنا أعيد كتابتها بعد محاولة انتحار شاب جديد من أبنائنا فإلى متى سيستمر نزيف أرواح شباب البدون البدون انتحار بدون بالصليبية,0,0,1,0,1
تعليقات مستخدمي النت على دخول الممثلة المستشفى بعد محاولة الانتحار,1,0,1,0,1
حلقة مفرغة ندور فيها مهما بذلنا من جهد لابد من العودة إلى نقطة الصفر لاجديد يذكر سوى استنزاف للا شيء البدون انتحار بدون بالصليبية,1,0,1,0,1
السودان في المرتبة الثانية في عدد حالات الانتحار رغم أن تعداد سكانه لا يتعدى   مليون نسمة اقرأ أكثر مقالة محمد احمد الفاضل,1,0,1,0,1
لا ضحية تنتظر من الجلاد خيرا وأقصى ما ترجوه أن يكف أذاه عنها انتحار بدون بمخفر الوفره انتحار بدون بالصليبية,1,0,1,0,1
انتحار بدون بالصليبية السنه الجديده,1,0,1,0,1
لموووو الانتحار,0,0,1,0,0
شاهد انتحار فتاة إيرانية من أعلى جسر بإيران بسبب الفقر,1,1,1,0,1
شاهد انتحار فتاة إيرانية من أعلى جسر في إيران والسبب صادم,1,1,1,0,1
سقوط شيماء م   سنة من شرفة الشقة سكنها ببلوك رقم   بمساكن جنوب المتراس أثناء نشر الغسيل ووفاتها على الفور بلاغا آخر يفيد انتحار محمود خطيب الفتاة المتوفية بإلقاء نفسه من أعلى ذات العقار بعد إصابته بحالة هياج عصبي حزنا على وفاتها وأنه توفى,1,0,1,0,1
مصر انتحار فتاة بعدما واجهها خطيبها بصورها المخلة مع صديقه المدينة نيوز,1,0,1,0,1
ومزال الانتحار فكرة مؤجلة,0,0,1,1,1
في آخر جريمة قبل إطلالة   انتحار هندي شنقا في مروحة سقف,1,0,1,0,1
تفاصيل إقدام تلميذة بداخلية بأكادير على الإنتحار يوم الأربعاء,1,1,1,0,1
لكل مهنة ضوابطها ولكل فن قواعده وعلى الرغم من أن للعشوائية سوقها وعشاقها فإن ذلك لا يعني بالضرورة الانتحار الجماعي في سوق النخاسة العالمية الجديدة حيث ينظر إلى الإنسان رقم وحيث ينتظر من الجميع أن يجمعوا ملايين اللايكات حتى وإن تطلب الأمر كشف عورتهم للناس,0,0,0,0,0
مباحث القاهرة تكشف غموض انتحار طبيب أردني,1,0,1,0,1
البدون انتحار بدون في الصليبية,1,0,1,0,1
ما الذي يصنعه العقل بنا إنه يفقد الأشياء بهتجتها ويقودنا نحو الكآبة إنني أتعفن مللا لولا ريشتي وألواني اعيد بها خلق الأشياء من جديد من رسالة إنتحار فنسنت فان غوخ,1,1,1,0,1
الدبش ما يدرون ان حتى اجسامهم اللي عايشين بها مهب حق لهم ليش ببساطة لو انك عملت عمل وخذيت عليه فلوس صارت من حقك صح طيب ماذا لو واحد مشى بالشارع وعطاكياها بتكون من حقك لا انت ماذا قدمت عشان تستاهل جسدك لا شيء بس وهبة من ربك ولذلك حرم الانتحار لان جسدك مهب حق لك,1,0,1,0,0
رسالة كتبها منتحر على كل حال لم تكن موتتي الأول,1,1,1,1,1
منتحر لا هاي الخنگة,0,1,0,0,1
الذي يطعن في أفاضل أهل العلم منتحر قاتل لنفسه هذا هو الجواب أبا مقبل,0,0,0,0,0
الترجمة الى اللغة العربية في القرن التاسع عشر يعتبر الانتحار جريمة في بريطانيا العظمى وإذا تم القبض على الشخص في محاولة للانتحار فإنه يعاقب شنقا,1,0,0,0,0
المحافظات الجنوبية تتصدر نسب الانتحار فيما تتصدر ذي قار محافظات العراق ب  حالة في العام السابق   فيما بلغت   حالة في الربع الأول من عام   و  حالة في   بزيادة قدرها   مقارنة بعام   تابع التقرير وكالة يقين,1,0,1,0,1
فتاة بعمر   عاما تقدم على الانتحار بحرق نفسها في ميسان بعد انفصال والديها,1,1,1,0,1
أعلنت منظمة الصحة العالمية أن نحو   ألف شخص حول العالم ينتحر سنويا ويفقد شخص واحد حياته كل   ثانية بسبب الانتحار,1,1,1,0,0
تقرير لهيئة الإذاعة البريطانية يتحدث عن تنماي ظاهرة الانتحار في العالم ومصر تتصدر العالم العربي في عدد المقدمين على الانتحار إنه فقدان الأمل وغياب القيادة القادرة على صناعة الحلم بالحياة أرقام في حاجة إلى إعادة التفكير مجددا في سبل التعامل مع الاختلاف,1,0,1,0,0
رحلة المواجهة في لبنان بين الإنتحار الإنتصار لحظة,0,1,0,0,0
تنتحر ربة منزل كل   دقيقة في الهند حسب الإحصائيات الرسمية التي سجلت ارتفاعا في أعداد المنتحرين خلال   تعرف على الأسباب الانتحار كيوبوست فيديوغراف,1,1,1,0,1
من كم يوم انتحر شب عمره ٢٣ سنة ما بقي منفخ ما نصب حاله اله وافتى عزوقه هالفيديو للشيخ أكرم بركات ولاية الفقيه هو جواب لكل منفخ عامل حاله الله وشكرا الإنتحار المرض النفسي,1,1,1,0,1
نحو   ألف شخص حول العالم يقدمون على الانتحار كل عام ويفقد شخص واحد حياته كل   ثانية بسبب الانتحار بحسب منظمة الصحة العالمية,1,1,1,0,1
أعمى   مصادر الانتحار الاسلام,0,0,0,0,0
إنتحار حدث عمره ١٦ سنه قبل قليل,1,1,1,0,1
انتحار شاب في منطقة عش الورور بمدينة دمشق ظاهرة الانتحار انتحار شاب عش الورور دمشق سوريا راديو وطن,1,0,1,0,1
الجهات الأمنية تبحث عن شخص أقدم على الانتحار من فوق جسر جابر البحث عنه جار من قبل خفر السواحل فيما تواصل المباحث تحرياتها الكويت انتحار,1,0,1,0,1
عاجل الشاب الذي القى بنفسه من اعلى جسر جابر كان برفقته شاب اخر حاول الانتحار ايضا ورجال الدوريات سيطروا عليه الكويت نيشان نيوز يوم الجمعة قبيضه اليوروفايتر,1,0,1,0,1
جريمة مروعة جنوبي تركيا قتل زوجته انتحر صور جريمة انتحار تركيا قتل صور,1,1,1,0,1
وزارة الداخلية تحصي حالات الانتحار وتشكل لجانا لدراسة الظاهرة نينا العراق الانتحار لقراءة الخبر كاملا,1,0,1,0,0
الداخلية تصدر إحصائية بحالات الانتحار خلال   وتشكل لجانا متخصصة لدراسة هذه الظاهرة الداعي نيوز,1,0,1,0,0
الداخلية العراقية تشكل لجانا لدراسة ظاهرة الانتحار العراق,1,0,1,0,0
المتحدث باسم الداخلية العراقية لواع حالات الانتحار المسجلة في  بلغت   حالة نسبة الذكور منها   والأناث   أما الأسباب فهي الضغط النفسي وشكل المنتحرين     الاضطرابات النفسية     الفقر   البطالة   عدم تحقيق الطموح     الفشل الدراسي,1,1,1,0,1
نسبة   بالمئة من حالات الانتحار في العراق خلال   هم ممن لا تتجاوز أعمارهم ال  سنة نورث برس,1,0,1,0,0
العراق الداخلية تحصي حالات الانتحار وتشكل لجانا لدراسة الظاهرة للمزيد من التفاصيل زوروا الرابط التالي,1,0,1,0,0
كل حالة انتحار تديننا جميعا متى يتوقف هذا الظلم الجاثم علينا,1,0,1,0,0
العراق   حالة انتحار في   العراق انتحار,1,0,1,0,1
عميد الصحافة الكويتية احمد الجارالله يا حكومتنا اتقو الله في البدون العالم يستمع صرخات البدون بسبب معالجة الجهاز المبنية على البلطجه واعلام الكوميديا السوداء الدول تعالج قضاياها برؤى استراتيجية وبعقول نيره تتطلع بها المستقبل فيما معالجة الانتحار والابادة الجماعية تسود المشهد,1,0,1,0,0
رسالة مسربة شركة أمازون تحذر من عمليات انتحار بسبب احتفاليات الميلاد أمازون الانتحار أمريكا,1,0,1,0,1
ثامر السويط تعسف الأجهزة تسبب بإقدامهم على الانتحار وهي مسألة مؤلمة لأنها تعبر عن أقصى حالات اليأس وهي موجعة على المستوى الوطني وتضعنا جميعا أمام مسؤوليتنا عبارة من إستجوابنا الأخير المقدم لوزير الداخلية ويتحمل ذلك كل من تعسف وعطل تشريعات تحمي حقوقهم انتحار بدون جسر جابر,1,0,1,0,1
النائب ثامر السويط تعسف الأجهزة تسبب بإقدامهم على الانتحار وهي مسألة مؤلمة لأنها تعبر عن أقصى حالات اليأس وفقدان الأمل وهي موجعة على المستوى الوطني وتضعنا جميعا أمام مسؤوليتنا ويتحمل ذلك كل من تعسف وعطل تشريعات تحمي حقوقهم انتحار بدون جسر جابر,1,0,1,0,1
ما زالت معاناة البدون وتلفيق الجنسيات من غير سند قانوني هي أساس مشكلة البدون وعدم تجديد البطاقات الأمنية لهم ومازال أقصى ما يمكن أن يفعله أعضاء مجلس الأمة هو التصريح في توتير مع انهم يملكون الأدوات الدستورية التي تساهم في حل المشكلة تظل مشكلة انتحار البدون هو ما يقلقنا,1,0,1,0,1
النائب ثامر السويط تعسف الأجهزة تسبب بإقدامهم على الانتحار وهي مسألة مؤلمة وهي موجعة على المستوى الوطني وتضعنا جميعا أمام مسؤوليتنا عبارة من إستجوابنا الأخير المقدم لوزير الداخلية ويتحمل ذلك كل من تعسف وعطل تشريعات تحمي حقوقهم انتحار بدون جسر جابر,1,0,1,0,1
الكشف عن ثلاث حالات انتحار لضباط في جهاز الموساد الإسرائيلي,1,0,1,0,1
صدمة بدولة الاحتلال انتحار ضباط بالموساد الاحتلال انتحار الموساد,1,0,1,0,1
غير صحيح يا دكتور تحميل الدولة التي تحمي سيادتها وهويتها بأنها سبب الانتحار ابحث عن السبب الحقيقي الاسري والنفسي فلم نسمع عن ظاهرة الانتحار في مخيمات اللاجئين السوريين والافارقة الذين يعبرون محيطات بقوارب صيد هربا من جحيم اوضاعهم المأساوية,1,0,1,0,0
انتحار ضباط بالموساد يسبب صدمة بدولة الاحتلال الاحتلال حزن انتحار الموساد,1,0,1,0,1
عجبنى قوى الخبر دا قولت أنهى بيه إنتحار ضباط في الموساد الإسرائيلي ربنا يزيد من إنتحاراتكم آمين,1,1,1,0,1
